Entity ID,SKU,Error
1083,PTZ-0290,Configurable product has no valid children
1097,SRO-0027,Configurable product has no valid children
1113,WCO-0190,Configurable product has no valid children
2921,BDI-0692,Configurable product has no valid children
3073,MET-0015,Configurable product has no valid children
3140,RON-0005,Configurable product has no valid children
3233,VAL-0022,Configurable product has no valid children
3418,CMP-0113,Configurable product has no valid children
4368,LSP-0023,Configurable product has no valid children
6973,ABC-0051,Too many connections
6989,TRG-0080,Too many connections
6993,TRG-0071,Too many connections
7005,CMP-0135,Too many connections
7016,CMP-0136,Configurable product has no valid children
7018,BDI-0053,Configurable product has no valid children
7022,SMC-0004,Configurable product has no valid children
7023,PTZ-0244,Too many connections
7028,PTZ-0271,Too many connections
7030,BDI-0052,Too many connections
7035,CSN-0002,Too many connections
7039,TRG-0006,Too many connections
7048,BDI-0668,Too many connections
7051,BLU-0077,Too many connections
7052,BLU-0078,Too many connections
7081,CMP-0008,Too many connections
7083,CMP-0013,Too many connections
7085,CMP-0161,Too many connections
7086,EDR-0037,Too many connections
7091,LIB-0056,Configurable product has no valid children
7095,PTZ-0317,Too many connections
7096,PTZ-0318,Too many connections
7178,BDI-0734,Too many connections
7193,BDI-0732,Too many connections
7246,BDI-0727,Too many connections
7267,BDI-0728,Too many connections
7306,BDI-0733,Too many connections
7340,PTZ-0375,Configurable product has no valid children
7350,PTZ-0385,Too many connections
7361,LSP-0135,Too many connections
7385,PTZ-0393,Too many connections
7397,LSP-0136,Too many connections
7398,LSP-0137,Too many connections
7451,LSP-0132,Too many connections
7477,PTZ-0373,Too many connections
7486,BDI-0731,Too many connections
7502,BDI-0726,Too many connections
7507,BDI-0730,Too many connections
7523,LSP-0133,Too many connections
7545,LSP-0134,Too many connections
7571,BDI-0736,Too many connections
7603,BDI-0735,Too many connections
7677,BDI-0725,Too many connections
7678,BDI-0738,Too many connections
7680,MET-0404,Too many connections
7681,MET-0405,Too many connections
7682,MET-0406,Too many connections
7683,MET-0408,Too many connections
7684,MET-0409,Too many connections
7686,PTZ-0397,Too many connections
7760,BDI-0709,Too many connections
7761,BDI-0710,Too many connections
7762,BDI-0711,Too many connections
7793,BDI-0714,Too many connections
7794,BDI-0715,Too many connections
7795,BDI-0716,Too many connections
7796,BDI-0717,Too many connections
7797,BDI-0718,Too many connections
7819,PTZ-0374,Too many connections
7940,LSP-0138,Too many connections
7949,LSP-0139,Too many connections
7958,LSP-0140,Too many connections
7971,LSP-0141,Too many connections
7985,LSP-0143,Too many connections
7994,LSP-0144,Too many connections
7999,LSP-0145,Too many connections
8004,LSP-0146,Too many connections
8013,LSP-0147,Too many connections
8018,LSP-0148,Too many connections
8023,LSP-0149,Too many connections
8028,LSP-0150,Configurable product has no valid children
8041,LSP-0151,Configurable product has no valid children
8050,LSP-0152,Too many connections
8063,LSP-0153,Configurable product has no valid children
8077,LSP-0155,Too many connections
8091,LSP-0157,Too many connections
8104,LSP-0158,Too many connections
