"Title","Handle","Body (HTML)","Variant SKU","Variant Price","Variant Compare At Price","Variant Weight (g)","Collection","Tags","Image Src","Attribute Set Id (product.metafields.custom.attribute_set_id)","Enable Googlecheckout (product.metafields.custom.enable_googlecheckout)","Has Options (product.metafields.custom.has_options)","Image Label (product.metafields.custom.image_label)","Is Recurring (product.metafields.custom.is_recurring)","Manufacturers (product.metafields.custom.manufacturers)","Msrp Display Actual Price Type (product.metafields.custom.msrp_display_actual_price_type)","Msrp Enabled (product.metafields.custom.msrp_enabled)","Required Options (product.metafields.custom.required_options)","Small Image (product.metafields.custom.small_image)","Small Image Label (product.metafields.custom.small_image_label)","Tax Class Id (product.metafields.custom.tax_class_id)","Thumbnail (product.metafields.custom.thumbnail)","Thumbnail Label (product.metafields.custom.thumbnail_label)","Url Key (product.metafields.custom.url_key)","Draw Length (product.metafields.custom.draw_length)","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Msrp (product.metafields.custom.msrp)","Size (product.metafields.custom.size)","Length (product.metafields.custom.length)","Shoe Size (product.metafields.custom.shoe_size)"
"Black Diamond Oval Wire Carabiner","black-diamond-oval-wire-carabiner",,"BDI-0354","8.9500","6.7100","0.1250","Climbing","Climbing, Carabiners, Non-Locking, Work & Rescue, Carabiners, Black Diamond","https://gearexpress.com/media/catalog/product/b/d/bdi-0354_1_1.jpg","19","1","0","Black Diamond Oval Wire Carabiner","0","928","4","2","0","https://gearexpress.com/media/catalog/product/b/d/bdi-0354_1_1.jpg","Black Diamond Oval Wire Carabiner","2","https://gearexpress.com/media/catalog/product/b/d/bdi-0354_1_1.jpg","Black Diamond Oval Wire Carabiner","black-diamond-oval-wire-carabiner",,,,,,,,,
"Black Diamond Neutrino Carabiner Rackpack - CLOSEOUT","black-diamond-neutrino-carabiner-rackpack-closeout",,"BDI-0336","39.9500","31.9500","0.5000","Non-Locking","Non-Locking, Outlet, Black Diamond","https://gearexpress.com/media/catalog/product/b/d/bdi-0336_1_1.jpg","19","1","0","Black Diamond Neutrino Carabiner Rackpack","0","928","4","2","0","https://gearexpress.com/media/catalog/product/b/d/bdi-0336_1_1.jpg","Black Diamond Neutrino Carabiner Rackpack","2","https://gearexpress.com/media/catalog/product/b/d/bdi-0336_1_1.jpg","Black Diamond Neutrino Carabiner Rackpack","black-diamond-neutrino-carabiner-rackpack",,,,,,,,,
"Black Diamond Hoodwire Carabiner Rackpack","black-diamond-hoodwire-carabiner-rackpack",,"BDI-0896-Rackpack","59.9500","44.9600","0.6000","Non-Locking","Non-Locking, Advanced Climbing, Trad, Essentials, Black Diamond","https://gearexpress.com/media/catalog/product/b/d/bdi-0625_1_1.jpg","19","1","0","Black Diamond Hoodwire Rackpack","0",,"4","2","0","https://gearexpress.com/media/catalog/product/b/d/bdi-0625_1_1.jpg","Black Diamond Hoodwire Rackpack","2","https://gearexpress.com/media/catalog/product/b/d/bdi-0625_1_1.jpg","Black Diamond Hoodwire Rackpack","black-diamond-hoodwire-rackpack",,,,,,,,,
"Black Diamond Positron Bentgate Carabiner - CLOSEOUT","black-diamond-positron-bentgate-carabiner-closeout",,"BDI-0364","7.9500","5.9600","0.1250","Climbing","Climbing, Carabiners, Non-Locking, Non-Locking Carabiners, Black Diamond","https://gearexpress.com/media/catalog/product/b/d/bdi-0364_1_1.jpg","19","1","0","Black Diamond Positron Bentgate Carabiner","0","928","4","2","0","https://gearexpress.com/media/catalog/product/b/d/bdi-0364_1_1.jpg","Black Diamond Positron Bentgate Carabiner","2","https://gearexpress.com/media/catalog/product/b/d/bdi-0364_1_1.jpg","Black Diamond Positron Bentgate Carabiner","black-diamond-positron-bentgate-carabiner",,,,,,,,,
"Black Diamond Nitron Bent Gate Carabiner - CLOSEOUT","black-diamond-nitron-bent-gate-carabiner-closeout",,"BDI-0344","11.9500","8.9600","0.1250","Climbing","Climbing, Carabiners, Non-Locking, Black Diamond","https://gearexpress.com/media/catalog/product/b/d/bdi-0344_1_1.jpg","19","1","0","Black Diamond Nitron Bent Gate Carabiner","0","928","4","2","0","https://gearexpress.com/media/catalog/product/b/d/bdi-0344_1_1.jpg","Black Diamond Nitron Bent Gate Carabiner","2","https://gearexpress.com/media/catalog/product/b/d/bdi-0344_1_1.jpg","Black Diamond Nitron Bent Gate Carabiner","black-diamond-nitron-bent-gate-carabiner",,,,,,,,,
"Black Diamond Dynotron Straight Gate Carabiner - CLOSEOUT","black-diamond-dynotron-straight-gate-carabiner-closeout",,"BDI-0264","12.9500","8.2500","0.1250","Climbing","Climbing, Carabiners, Non-Locking, Black Diamond, Daily Deals","https://gearexpress.com/media/catalog/product/b/d/bdi-0264_1.jpg","19","1","0","Black Diamond Dynotron Straight Gate Carabiner","0","928","4","2","0","https://gearexpress.com/media/catalog/product/b/d/bdi-0264_1.jpg","Black Diamond Dynotron Straight Gate Carabiner","2","https://gearexpress.com/media/catalog/product/b/d/bdi-0264_1.jpg","Black Diamond Dynotron Straight Gate Carabiner","black-diamond-dynotron-straight-gate-carabiner",,,,,,,,,
"Black Diamond Light D Carabiner","black-diamond-light-d-carabiner",,"BDI-0306","6.5000","4.8800","0.1250","Climbing","Climbing, Carabiners, Non-Locking, Black Diamond","https://gearexpress.com/media/catalog/product/b/d/bdi-0306_1_1.jpg","19","1","0","Black Diamond Light D Carabiner","0","928","4","2","0","https://gearexpress.com/media/catalog/product/b/d/bdi-0306_1_1.jpg","Black Diamond Light D Carabiner","2","https://gearexpress.com/media/catalog/product/b/d/bdi-0306_1_1.jpg","Black Diamond Light D Carabiner","black-diamond-light-d-carabiner",,,,,,,,,
"Black Diamond Gridlock Screwgate Carabiner - CLOSEOUT","black-diamond-gridlock-screwgate-carabiner-closeout",,"BDI-0283","19.9500","13.9700","0.1875","Climbing","Climbing, Carabiners, Locking, Belay/Rappel, Outlet, Black Diamond","https://gearexpress.com/media/catalog/product/b/d/bdi-0283_1.jpg","19","1","0","Black Diamond Gridlock Screwgate Carabiner","0","928","4","2","0","https://gearexpress.com/media/catalog/product/b/d/bdi-0283_1.jpg","Black Diamond Gridlock Screwgate Carabiner","2","https://gearexpress.com/media/catalog/product/b/d/bdi-0283_1.jpg","Black Diamond Gridlock Screwgate Carabiner","black-diamond-gridlock-screwgate-carabiner",,,,,,,,,
"Black Diamond Hoodwire Quickdraw 12cm - CLOSEOUT","black-diamond-hoodwire-quickdraw-12cm-closeout",,"BDI-0287","19.9500","13.9500","0.2100","Climbing","Climbing, Carabiners, Quickdraws, Quickdraws, Black Diamond, Daily Deals","https://gearexpress.com/media/catalog/product/b/d/bdi-0287_1.jpg","19","1","0","Black Diamond Hoodwire Quickdraw 12cm","0","928","4","2","0","https://gearexpress.com/media/catalog/product/b/d/bdi-0287_1.jpg","Black Diamond Hoodwire Quickdraw 12cm","2","https://gearexpress.com/media/catalog/product/b/d/bdi-0287_1.jpg","Black Diamond Hoodwire Quickdraw 12cm","black-diamond-hoodwire-quickdraw-12cm",,,,,,,,,
"Black Diamond Nitron Screwgate Carabiner - CLOSEOUT","black-diamond-nitron-screwgate-carabiner-closeout",,"BDI-0345","13.9500","10.4600","0.1250","Climbing","Climbing, Carabiners, Locking, Black Diamond","https://gearexpress.com/media/catalog/product/b/d/bdi-0345_1.jpg","19","1","0","Black Diamond Nitron Screwgate Carabiner","0","928","4","2","0","https://gearexpress.com/media/catalog/product/b/d/bdi-0345_1.jpg","Black Diamond Nitron Screwgate Carabiner","2","https://gearexpress.com/media/catalog/product/b/d/bdi-0345_1.jpg","Black Diamond Nitron Screwgate Carabiner","black-diamond-nitron-screwgate-carabiner",,,,,,,,,
